OID_,ID,hydr_prcnt,drai_prcnt,bedr_prcnt,dens_prcnt,ston_prcnt,TreeMortal
34070,34681,0,0,100,0,100,2
34147,34758,0,0,0,100,0,3
34209,34820,0,0,0,0,0,1
34256,34867,0,0,13,0,87,1
34322,34933,0,0,100,0,0,3
34394,35005,0,0,100,0,0,1
34423,35034,33,0,0,100,32,4
34493,35104,0,0,63,0,0,5
34539,35150,0,0,0,21,0,1
34548,35159,0,0,100,0,0,4
34574,35185,0,100,0,0,0,5
34665,35277,30,0,63,30,93,4
34712,35324,23,0,77,23,23,5
34817,35430,8,0,0,8,8,5
34833,35446,0,0,0,0,1,5
34859,35472,0,0,100,0,4,3
34868,35481,0,0,100,0,0,1
34875,35488,0,0,0,0,0,3
34889,35502,0,0,9,0,9,4
34936,35550,0,0,0,0,0,4
34938,35552,6,0,94,6,84,2
34961,35576,0,0,0,100,0,5
35042,35657,0,0,0,0,100,2
35077,35692,0,0,100,0,50,2
35214,35831,0,0,0,100,0,3
35227,35844,0,0,0,0,100,5
35368,35986,0,0,47,0,0,1
35401,36019,0,0,0,0,0,4
35445,36063,7,0,0,100,7,4
35506,36126,0,0,100,0,73,5
35521,36141,61,0,0,79,61,1
35736,36359,0,0,100,0,0,3
35888,36513,0,0,0,0,0,4
35901,36526,0,0,100,0,100,2
36049,36675,0,0,0,0,38,1
36132,36759,0,0,100,0,100,3
36274,36901,0,0,60,40,0,1
36321,36948,12,0,0,12,12,4
36352,36979,2,97,0,0,0,1
36405,37033,0,0,100,0,49,2
36409,37037,0,0,0,0,0,4
36480,37109,0,0,0,0,0,3
36535,37164,18,82,0,18,18,2
36785,37417,36,0,0,35,35,5
36961,37593,16,0,84,16,16,5
36988,37620,0,0,95,0,0,5
37039,37673,2,99,0,0,0,2
37103,37738,0,0,0,0,0,5
37109,37744,0,0,0,100,0,3
37182,37817,0,0,3,0,0,1
37272,37907,0,0,0,100,0,2
37334,37971,2,0,0,0,0,2
37340,37977,1,2,97,0,0,3
37355,37992,0,0,0,0,0,1
37439,38076,0,100,0,0,0,4
37451,38089,0,1,0,0,0,3
37658,38297,1,0,0,100,1,4
37686,38326,0,0,0,0,0,5
37862,38502,0,0,0,0,18,1
37995,38636,0,0,0,0,0,3
37996,38637,6,95,0,0,0,4
38106,38748,0,0,100,0,0,4
38129,38771,5,0,0,5,5,5
38178,38820,4,0,42,0,0,1
38242,38885,0,0,0,0,0,1
38271,38915,0,0,100,0,0,1
38547,39193,28,0,53,34,28,2
38625,39271,0,0,56,0,0,4
38653,39299,4,0,0,3,3,3
38714,39362,0,0,100,0,3,1
38743,39391,46,0,0,45,45,3
38854,39504,0,0,96,0,4,4
38865,39515,0,0,0,0,4,1
38893,39543,0,0,0,100,0,2
38934,39584,0,100,0,0,0,3
38961,39611,0,0,0,0,0,1
38992,39644,0,0,0,0,0,5
39007,39659,0,0,0,100,0,5
39090,39743,0,100,0,0,0,4
39101,39754,0,0,0,100,0,1
39127,39780,0,0,100,0,14,5
39139,39792,0,0,100,0,0,3
39185,39838,0,0,0,0,0,3
39199,39852,0,0,0,100,0,2
39220,39873,0,0,0,28,38,5
39307,39960,0,0,0,0,0,3
39357,40011,9,0,0,57,10,4
39380,40034,0,6,0,0,0,2
39400,40055,0,0,100,0,0,3
39603,40261,85,0,0,0,0,1
39612,40270,13,0,87,13,100,1
39624,40282,0,0,85,15,15,3
39657,40315,50,0,0,49,49,5
39774,40433,0,0,0,69,0,4
39783,40442,27,0,0,26,63,5
39840,40499,0,0,0,100,0,3
39854,40513,0,0,0,0,0,2
39868,40527,0,0,0,0,0,4
39879,40538,0,0,0,0,0,3
40093,40753,0,0,67,1,1,5
40102,40762,34,0,0,100,34,1
40228,40890,15,0,85,15,0,1
40273,40935,34,0,67,33,33,3
40277,40939,0,0,0,0,42,3
40476,41140,16,0,29,16,16,4
40637,41303,1,0,0,45,45,4
40648,41314,0,0,100,0,0,5
40655,41321,0,0,100,0,27,1
40730,41398,0,0,100,0,0,1
40903,41572,0,0,100,0,0,3
41000,41669,28,0,71,29,100,3
41001,41670,69,0,0,100,70,3
41004,41673,99,0,1,99,99,2
41042,41712,22,78,0,0,0,1
41056,41726,83,0,0,100,83,2
41132,41802,0,0,0,0,100,3
41152,41822,0,11,61,0,0,4
41217,41887,34,0,0,33,100,3
41317,41987,0,0,100,0,0,5
41321,41991,0,0,0,0,0,3
41335,42005,1,0,99,1,1,1
41435,42107,54,0,47,53,53,2
41437,42109,83,0,0,82,82,1
41480,42152,0,0,0,100,0,3
41525,42197,0,0,0,0,0,2
41603,42276,45,0,5,45,60,5
41613,42286,24,0,76,24,100,1
41641,42314,53,0,0,54,54,3
41680,42354,0,0,59,0,67,4
41724,42399,91,0,0,96,91,1
41780,42455,17,0,83,17,17,2
41848,42523,0,0,100,0,48,2
41885,42561,0,68,0,0,32,3
41892,42568,30,0,70,30,30,3
41917,42593,0,0,3,0,3,5
41952,42628,89,0,0,100,100,3
42047,42724,0,0,7,93,0,2
42096,42773,0,0,100,0,100,1
42108,42785,0,0,0,100,0,5
42131,42808,0,0,67,25,0,1
42156,42836,0,100,0,0,0,1
42161,42841,0,0,0,0,0,1
42421,43104,0,0,0,0,0,3
42423,43106,0,0,100,0,0,4
42467,43151,0,0,0,0,0,3
42492,43176,0,0,0,0,98,4
42601,43286,0,0,100,0,0,5
42617,43302,8,0,0,8,8,3
42623,43308,16,0,85,15,15,1
42626,43312,15,0,85,15,100,1
42628,43314,12,0,89,11,100,3
42785,43471,56,0,44,56,100,3
42794,43480,0,0,16,0,0,4
42821,43508,0,0,49,0,0,1
42885,43572,0,60,15,0,0,3
43030,43722,0,0,0,100,0,1
43045,43738,0,0,100,0,0,4
43061,43754,8,0,0,100,7,1
43187,43880,0,12,75,0,0,3
43300,43994,26,0,0,26,48,5
43330,44025,58,0,41,59,59,3
43337,44032,0,0,0,0,0,1
43456,44152,61,0,0,100,60,3
43477,44173,0,0,0,100,0,2
43479,44175,6,0,65,35,6,4
43487,44184,0,0,100,0,16,4
43534,44231,0,0,0,100,0,1
43542,44239,0,0,100,0,0,3
43581,44278,12,0,89,11,11,2
43583,44280,0,0,12,88,0,3
43651,44348,0,0,10,0,90,2
43659,44356,0,0,0,0,100,5
43891,44592,0,0,0,0,0,2
43975,44678,23,0,75,23,23,3
44040,44745,0,0,100,0,0,3
44265,44970,44,0,0,45,45,1
44288,44993,0,0,0,0,0,5
44348,45053,12,0,0,100,12,1
44417,45122,46,3,0,45,45,3
44419,45124,63,0,0,100,63,4
44436,45141,0,0,97,0,0,3
44548,45257,0,0,98,0,0,1
44580,45291,21,0,0,100,21,4
44679,45394,17,0,17,16,83,5
44745,45462,0,0,0,0,83,1
44756,45473,0,0,85,0,0,1
44827,45547,0,0,0,0,68,4
44851,45573,48,0,0,100,48,4
44855,45577,0,0,0,0,0,5
44953,45676,1,0,99,0,0,2
44955,45678,0,0,0,100,0,3
44970,45694,0,0,100,0,100,2
45029,45753,0,0,100,0,0,2
45059,45784,0,0,86,14,38,3
45068,45793,0,0,0,100,0,4
45071,45796,0,0,0,100,0,4
45108,45836,0,0,85,0,0,4
45116,45844,10,0,6,94,10,3
45191,45920,0,0,0,100,0,2
45361,46094,0,0,100,0,100,1
45426,46161,30,0,58,41,32,4
45431,46166,0,0,15,0,0,3
45542,46280,1,0,0,100,1,4
45546,46284,0,0,51,0,51,1
45597,46335,0,100,0,0,0,1
45698,46437,0,0,0,0,100,5
45706,46445,0,0,0,100,0,3
45715,46455,0,0,0,100,28,2
45765,46507,0,0,100,0,0,3
45797,46542,0,0,100,0,5,2
46148,46897,41,0,0,100,41,3
46180,46930,4,0,0,4,4,4
46285,47036,0,0,0,100,0,4
46326,47080,47,0,0,100,48,3
46537,47296,0,0,6,94,0,4
46662,47423,47,0,0,46,46,4
46682,47444,28,0,0,100,28,5
46716,47478,0,0,100,0,0,1
46740,47503,29,0,24,32,29,3
46861,47627,34,0,3,34,35,1
46890,47656,0,0,0,0,0,4
47128,47903,0,0,0,0,0,2
47226,48003,38,0,0,37,37,4
47286,48065,7,0,0,100,7,3
47346,48127,28,0,0,100,28,1
47705,48494,0,15,100,0,0,2
47709,48498,0,0,0,100,0,4
47955,48753,0,0,100,0,0,1
48289,49095,0,25,0,0,0,4
48309,49115,47,0,0,100,7,2
48417,49226,0,0,0,0,0,3
48550,49360,0,0,0,0,0,4
48649,49462,26,0,0,100,26,1
48681,49495,0,0,91,0,0,2
48718,49534,39,0,0,100,39,1
48725,49541,0,0,0,2,0,2
48788,49607,0,0,28,72,0,5
48845,49666,0,0,1,0,1,1
48915,49737,15,0,0,15,15,2
48916,49738,0,0,100,0,0,4
48934,49757,0,0,0,100,0,1
48949,49772,0,0,0,0,0,1
48977,49801,0,0,0,100,0,4
48978,49802,2,1,0,0,0,2
48990,49814,0,26,39,0,0,5
49091,49917,0,0,100,0,0,6
49152,49980,0,0,100,0,0,4
49155,49983,0,0,100,0,100,4
49201,50029,0,0,0,86,0,4
